PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH SASARAN;JUMLAH DITIMBANG;BULAN
SULAWESI BARAT;MAMASA;MAMASA;MAMASA;276;83;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;RAMBUSARATU;160;97;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;OSANGO;170;161;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LAMBANAN;161;121;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LEMBANA SALULO;41;28;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;TAUPE;100;53;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BUNTU BUDA;168;158;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;TONDOK BAKARU;145;91;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;PEBASSIAN;42;35;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;MAMBULILING;60;45;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BOMBONG LAMBE;107;60;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BUBUN BATU;80;70;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;MAMBI;;19;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;TALIPUKKI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;RANTEBULAHAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SONDONGLAYU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALUBANUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;TAPALINA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SENDANA;65;36;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;PAMOSEAN;55;21;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SELUMAKA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;BUJUNG MANURUNG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALU ALO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;INDOBANUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALUDURIAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;BOTTENG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUKONTA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;MESAKADA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUAHOK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUBALO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;PASSEMBUK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;KONDO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;LEKO SUKAMAJU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;ULUMEA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MESSAWA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;RIPPUNG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MAKUANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;SEPANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MALIMBONG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;MATANDE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;SIPAI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;PASMA MAMBU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MESSAWA;TANETE BATU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;NOSU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;MINANGA;40;26;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;BATUPAPAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;MASEWWE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;SIWI;43;30;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;MINANGA TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;NOSU;PARINDING;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;PANA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;MANIPI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;MAMULLU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;SAPAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;DATUBARINGAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;PANURA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;TALLANG BULAWAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;KARAKA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;ULUSALU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;WERI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;SALUTAMBUN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;SALOAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;PANA;ULUSALU INDAH;;;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN;46;30;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BUANGIN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BAMBANG BUDA;55;37;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;LEKO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;KIRAK;56;41;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN UTARA;41;21;SEPTEMBER
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SAMPALE;15;15;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;PALADAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;RANTE PUANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;SATENETEAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;LISUAN ADA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA SELATAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;MALANGKENA PADANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;MALIMBONG;17;16;SEPTEMBER
SULAWESI BARAT;MAMASA;SESENAPADANG;MARAMPAN OROBUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;SUMARORONG;82;64;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;TABONE;48;33;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;BATANG URU;44;30;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;SASAKAN;62;36;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;TADISI;122;70;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;SIBANAWA;55;32;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;BATANGNGURU TIMUR;57;50;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;SALUBALO;71;67;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;BANEA;86;50;SEPTEMBER
SULAWESI BARAT;MAMASA;SUMARORONG;RANTE KAMASE;109;58;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;TABANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;TADOKALUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;TABANG BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;MASUPU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;KALAMA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;BAKADISURA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABANG;SALUKONA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;PERIANGAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;MALATIRO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;TABULAHAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;SALULEANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;TAMPAK KURRA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;GANDANG DEWATA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;BURANA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;SALUBAKKA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;PANGANDARAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;TALOPAK;33;26;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;PEU';;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;TIMORO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG UTAMA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;MINAKE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;MALABO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;SINDAGAMANIK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;PARONDOBULAWAN;48;42;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;TAMALANTIK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;MANNABABA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;MESAKADA;69;40;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;BALLABATU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;PAMBE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;SALURANO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;TALIMBUNG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TANDUK KALUA;KANAN;71;45;SEPTEMBER
SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TAWALIAN;KARIANGO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;TAWALIAN;RANTETANGNGA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;PETOOSANG;125;105;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;MOMBI;167;129;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;KALUMAMMANG;117;94;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;PAO-PAO;166;139;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;PUPPU URING;175;156;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;SARAGIAN;157;113;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;SAYOANG;46;42;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ALLU;ALU;150;113;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;ANREAPI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;DUAMPANUA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KELAPA DUA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;PAPPANDANGAN;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KUNYI;;97;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALANIPA;252;193;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMMAJARRA;184;157;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMANGGALLE;231;160;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;MOSSO;85;68;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;GALUNG TULUK;285;137;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;SABANG SUBIK;319;183;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PAMBUSUANG;497;353;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALA;495;296;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LAMBANAN;47;43;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LEGO;110;75;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PALLIS;32;32;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMASSANGAN;291;208;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;TONYAMAN;437;327;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KUAJANG;370;208;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;PAKU;171;136;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MIRRING;248;202;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;BATETANGNGA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MAMMI;182;131;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KALEOK;84;71;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMOLA;79;65;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BINUANG;REA;228;157;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;BULO;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;PULLIWA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;PATAMBANUA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;KAROMBANG;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;DAALA TIMUR;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;LENGGO;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;SABURA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;SEPPORRAKI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;BULO;IHING;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PAPPANG;150;142;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LALIKO;312;231;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BONDE;251;173;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN LEMO;239;157;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PANYAMPA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SURUANG;153;112;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAMPOKO;275;183;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAPEO;222;142;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PARAPPE;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;ONGKO;143;110;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KENJE;261;217;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SUMARRANG;440;358;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BOTTO;304;230;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;GATTUNGAN;169;131;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG TIMUR;135;103;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG;65;59;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAGI-AGI;221;166;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LIMBORO;126;103;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LEMBANG LEMBANG;206;206;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANDASURA;98;98;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SAMASUNDU;98;91;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;NAPO;163;144;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TODANG TODANG;68;54;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PENDULANGAN;72;47;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;RENGGEANG;96;96;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SALARRI;93;93;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANGAN BARU;97;88;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PALECE;102;98;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAMBU;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;TENGGELANG;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;BARU;271;196;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAPILI BARAT;200;159;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;SAMBALI WALI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA DAALA;232;204;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;LUYO;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI BARAT;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUCCADI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;MAPILI;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;UGIBARU;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RUMPA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;KURMA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BUKU;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONNE BONNE;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BEROANGIN;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SEGERANG;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONRA;260;243;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SATTOKO;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RAPPANG BARAT;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;LANDI KANUSUANG;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;MATAKALI;305;198;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PETAMPANUA;435;148;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BARUMBUNG;236;118;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PASIANG;350;288;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;TONROLIMA;182;136;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;INDOMAKKOMBONG;146;122;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BUNGA-BUNGA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;MATANGNGA;58;37;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;LILLI;52;48;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;RANGOAN;69;47;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;TAPUA;133;76;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;MAMBU TAPUA;50;43;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;BA'BA TAPUA;45;38;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;KATIMBANG;45;37;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;POLEWALI;359;277;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;WATTANG;226;164;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;SULEWATANG;293;214;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;LANTORA;289;169;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;TAKATIDUNG;525;451;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;PEKKABATA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;MADATE;546;483;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;MANDING;331;280;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;DARMA;647;601;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;PELITAKAN;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;TAPANGO;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;RAPPANG;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;DAKKA;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;BATU;;;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;RISO;;;SEPTEMBER
