PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;GATI DEKAT;BULAN
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;145;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;39;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;45;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;25;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;46;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;17;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;8;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;135;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;91;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;97;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;42;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;8;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;54;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;92;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TANGKOU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TABOLANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PARAILI;27;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG;43;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG IV;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TAPPILINA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BAMBAMANURUNG;60;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALULEKBO;53;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PANGALLOANG;79;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SINABATTA;30;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAROSSA;59;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;TASOKKO;19;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LARA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KADAILA;25;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAYU CALLA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LEMBAH HOPO;63;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;BENGGAULU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SUKA MAJU;4;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAMBUNONG;3;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SALUBIRO;5;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SANJANGO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;49;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;53;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;25;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;30;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;60;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;30;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;7;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;15;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;15;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;25;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;19;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;51;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;5;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;4;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;1;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;16;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;60;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;7;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;5;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;24;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;31;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;50;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;BARU;95;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;265;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;50;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;99;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;7;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;64;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;31;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;26;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;13;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;45;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;10;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;73;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;44;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;20;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;28;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;1;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;38;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;58;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;2;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;19;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;1;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;10;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;4;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;2;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;10;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO;31;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;9;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;30;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;2;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;42;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BINANGA;36;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;14;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;2;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;4;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;63;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;SENDANA;32;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;6;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;15;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LIMBORO RAMBU-RAMBU;38;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LIMBUA;3;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BUKIT SAMANG;8;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;SEPPONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO;40;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;ULIDANG;26;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TALLAMBALAO;2;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO UTARA;59;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;MANYAMBA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;AWO;75;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG UTARA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO SELATAN;49;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;BONDE BONDE;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO TENGAH;0;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO POANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;KABIRAAN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SAMBABO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;TANDEALLO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;ULUMANDA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SALUTAMBUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;POPENGA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SULAI;0;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;PANGGALO;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;RALLE ANAK;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;PANETEAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;UHAILANU;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE UTARA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;UHAIDAHO;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;BARURU;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;RALLEANAK UTARA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;PAMOSEANG PANGGA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;KALABE;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE SELATAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;HAHANGAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA;2;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA BARAT;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA SATANETEAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA TUMUKA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;SEPAKUAN;2;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;PIDARA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BAMBAPUANG;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MOKALLANG;23;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MASOSO;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUASSING;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUBULO;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUKADI;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUKEPOPOK;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI BARAT;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;LIMBADEBATA;1;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;TANETE TOMBA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;RANTELEMO;39;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUDENGEN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MINANGA;2;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SIKAMASE;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;RANTETARIMA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALURURU;9;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUTABANG;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BALATANA;8;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;BUNTUMALANGKA;100;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;RANTEBERAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KEBANGA;39;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALURINDU;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;TAORA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KABAE;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN BARAT;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;PENATANGAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;ARALLE TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;MAMASA;0;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;RAMBUSARATU;1;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;OSANGO;34;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LAMBANAN;0;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LEMBANA SALULO;0;SEPTEMBER
