;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;GENTING;BULAN
1;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;18;SEPTEMBER
2;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;35;SEPTEMBER
3;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;49;SEPTEMBER
4;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;25;SEPTEMBER
5;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;58;SEPTEMBER
6;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;24;SEPTEMBER
7;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;20;SEPTEMBER
8;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;22;SEPTEMBER
9;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;10;SEPTEMBER
10;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;21;SEPTEMBER
11;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;15;SEPTEMBER
12;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;22;SEPTEMBER
13;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;13;SEPTEMBER
14;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;0;SEPTEMBER
15;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;16;SEPTEMBER
16;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;21;SEPTEMBER
17;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;9;SEPTEMBER
18;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;57;SEPTEMBER
19;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;10;SEPTEMBER
20;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;0;SEPTEMBER
21;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;20;SEPTEMBER
22;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;15;SEPTEMBER
23;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;8;SEPTEMBER
24;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;9;SEPTEMBER
25;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;7;SEPTEMBER
26;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;12;SEPTEMBER
27;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;0;SEPTEMBER
28;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;8;SEPTEMBER
29;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;8;SEPTEMBER
30;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;19;SEPTEMBER
31;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;9;SEPTEMBER
32;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;5;SEPTEMBER
33;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;10;SEPTEMBER
34;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TANGKOU;11;SEPTEMBER
35;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TABOLANG;9;SEPTEMBER
36;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PARAILI;11;SEPTEMBER
37;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG;11;SEPTEMBER
38;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG IV;7;SEPTEMBER
39;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TAPPILINA;6;SEPTEMBER
40;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BAMBAMANURUNG;10;SEPTEMBER
41;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALULEKBO;3;SEPTEMBER
42;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PANGALLOANG;20;SEPTEMBER
43;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SINABATTA;9;SEPTEMBER
44;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAROSSA;34;SEPTEMBER
45;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;TASOKKO;29;SEPTEMBER
46;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LARA;9;SEPTEMBER
47;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KADAILA;0;SEPTEMBER
48;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAYU CALLA;17;SEPTEMBER
49;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LEMBAH HOPO;17;SEPTEMBER
50;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;BENGGAULU;27;SEPTEMBER
51;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SUKA MAJU;12;SEPTEMBER
52;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAMBUNONG;53;SEPTEMBER
53;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SALUBIRO;8;SEPTEMBER
54;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SANJANGO;0;SEPTEMBER
55;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;4;SEPTEMBER
56;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;38;SEPTEMBER
57;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;3;SEPTEMBER
58;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;41;SEPTEMBER
59;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;39;SEPTEMBER
60;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;19;SEPTEMBER
61;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;5;SEPTEMBER
62;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;SEPTEMBER
63;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;8;SEPTEMBER
64;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;5;SEPTEMBER
65;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;0;SEPTEMBER
66;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;0;SEPTEMBER
67;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;9;SEPTEMBER
68;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;0;SEPTEMBER
69;SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;0;SEPTEMBER
70;SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;SEPTEMBER
71;SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;0;SEPTEMBER
72;SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;0;SEPTEMBER
73;SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;SEPTEMBER
74;SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;SEPTEMBER
75;SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;SEPTEMBER
76;SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;0;SEPTEMBER
77;SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;0;SEPTEMBER
78;SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;0;SEPTEMBER
79;SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;SEPTEMBER
80;SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;SEPTEMBER
81;SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;0;SEPTEMBER
82;SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;0;SEPTEMBER
83;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;0;SEPTEMBER
84;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;7;SEPTEMBER
85;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;0;SEPTEMBER
86;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;1;SEPTEMBER
87;SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;0;SEPTEMBER
88;SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;4;SEPTEMBER
89;SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;0;SEPTEMBER
90;SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;0;SEPTEMBER
91;SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;12;SEPTEMBER
92;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;0;SEPTEMBER
93;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;10;SEPTEMBER
94;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;9;SEPTEMBER
95;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;SEPTEMBER
96;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;0;SEPTEMBER
97;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;SEPTEMBER
98;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;2;SEPTEMBER
99;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;SEPTEMBER
100;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;3;SEPTEMBER
101;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;4;SEPTEMBER
102;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;SEPTEMBER
103;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;0;SEPTEMBER
104;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;SEPTEMBER
105;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;3;SEPTEMBER
106;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;SEPTEMBER
107;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;SEPTEMBER
108;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;SEPTEMBER
109;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;SEPTEMBER
110;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;11;SEPTEMBER
111;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;10;SEPTEMBER
112;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;0;SEPTEMBER
113;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;0;SEPTEMBER
114;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;16;SEPTEMBER
115;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;0;SEPTEMBER
116;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;0;SEPTEMBER
117;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;10;SEPTEMBER
118;SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;5;SEPTEMBER
119;SULAWESI BARAT;MAJENE;BANGGAE;BARU;37;SEPTEMBER
120;SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;59;SEPTEMBER
121;SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;65;SEPTEMBER
122;SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;34;SEPTEMBER
123;SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;0;SEPTEMBER
124;SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;16;SEPTEMBER
125;SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;19;SEPTEMBER
126;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;24;SEPTEMBER
127;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;11;SEPTEMBER
128;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;32;SEPTEMBER
129;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;14;SEPTEMBER
130;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;7;SEPTEMBER
131;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;41;SEPTEMBER
132;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;13;SEPTEMBER
133;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;6;SEPTEMBER
134;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;17;SEPTEMBER
135;SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;33;SEPTEMBER
136;SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;9;SEPTEMBER
137;SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;22;SEPTEMBER
138;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;16;SEPTEMBER
139;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;20;SEPTEMBER
140;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;29;SEPTEMBER
141;SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;2;SEPTEMBER
142;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;3;SEPTEMBER
143;SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;0;SEPTEMBER
144;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;35;SEPTEMBER
145;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;0;SEPTEMBER
146;SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;22;SEPTEMBER
147;SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;10;SEPTEMBER
148;SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;14;SEPTEMBER
149;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;16;SEPTEMBER
150;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;42;SEPTEMBER
151;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;46;SEPTEMBER
152;SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;29;SEPTEMBER
153;SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;11;SEPTEMBER
154;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;68;SEPTEMBER
155;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;14;SEPTEMBER
156;SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;17;SEPTEMBER
157;SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;30;SEPTEMBER
158;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;22;SEPTEMBER
159;SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;38;SEPTEMBER
160;SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;16;SEPTEMBER
161;SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;0;SEPTEMBER
162;SULAWESI BARAT;MAJENE;SENDANA;MOSSO;40;SEPTEMBER
163;SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;24;SEPTEMBER
164;SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;14;SEPTEMBER
165;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;54;SEPTEMBER
166;SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;18;SEPTEMBER
167;SULAWESI BARAT;MAJENE;SENDANA;BINANGA;0;SEPTEMBER
168;SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;11;SEPTEMBER
169;SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;13;SEPTEMBER
170;SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;7;SEPTEMBER
171;SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;12;SEPTEMBER
172;SULAWESI BARAT;MAJENE;SENDANA;SENDANA;3;SEPTEMBER
173;SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;41;SEPTEMBER
174;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;10;SEPTEMBER
175;SULAWESI BARAT;MAJENE;SENDANA;LIMBORO RAMBU-RAMBU;21;SEPTEMBER
176;SULAWESI BARAT;MAJENE;SENDANA;LIMBUA;7;SEPTEMBER
177;SULAWESI BARAT;MAJENE;SENDANA;BUKIT SAMANG;20;SEPTEMBER
178;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;SEPPONG;53;SEPTEMBER
179;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO;62;SEPTEMBER
180;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;ULIDANG;51;SEPTEMBER
181;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TALLAMBALAO;41;SEPTEMBER
182;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO UTARA;63;SEPTEMBER
183;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;MANYAMBA;15;SEPTEMBER
184;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;AWO;72;SEPTEMBER
185;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG;11;SEPTEMBER
186;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO;4;SEPTEMBER
187;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG UTARA;24;SEPTEMBER
188;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO SELATAN;11;SEPTEMBER
189;SULAWESI BARAT;MAJENE;TUBO SENDANA;BONDE BONDE;9;SEPTEMBER
190;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO TENGAH;15;SEPTEMBER
191;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO POANG;12;SEPTEMBER
192;SULAWESI BARAT;MAJENE;ULUMANDA;KABIRAAN;4;SEPTEMBER
193;SULAWESI BARAT;MAJENE;ULUMANDA;SAMBABO;4;SEPTEMBER
194;SULAWESI BARAT;MAJENE;ULUMANDA;TANDEALLO;0;SEPTEMBER
195;SULAWESI BARAT;MAJENE;ULUMANDA;ULUMANDA;9;SEPTEMBER
196;SULAWESI BARAT;MAJENE;ULUMANDA;SALUTAMBUNG;8;SEPTEMBER
197;SULAWESI BARAT;MAJENE;ULUMANDA;POPENGA;0;SEPTEMBER
198;SULAWESI BARAT;MAJENE;ULUMANDA;SULAI;5;SEPTEMBER
199;SULAWESI BARAT;MAJENE;ULUMANDA;PANGGALO;3;SEPTEMBER
200;SULAWESI BARAT;MAMASA;ARALLE;ARALLE;0;SEPTEMBER
201;SULAWESI BARAT;MAMASA;ARALLE;RALLE ANAK;0;SEPTEMBER
202;SULAWESI BARAT;MAMASA;ARALLE;PANETEAN;0;SEPTEMBER
203;SULAWESI BARAT;MAMASA;ARALLE;UHAILANU;0;SEPTEMBER
204;SULAWESI BARAT;MAMASA;ARALLE;ARALLE UTARA;0;SEPTEMBER
205;SULAWESI BARAT;MAMASA;ARALLE;UHAIDAHO;0;SEPTEMBER
206;SULAWESI BARAT;MAMASA;ARALLE;BARURU;0;SEPTEMBER
207;SULAWESI BARAT;MAMASA;ARALLE;RALLEANAK UTARA;0;SEPTEMBER
208;SULAWESI BARAT;MAMASA;ARALLE;PAMOSEANG PANGGA;0;SEPTEMBER
209;SULAWESI BARAT;MAMASA;ARALLE;KALABE;0;SEPTEMBER
210;SULAWESI BARAT;MAMASA;ARALLE;ARALLE SELATAN;0;SEPTEMBER
211;SULAWESI BARAT;MAMASA;ARALLE;HAHANGAN;0;SEPTEMBER
212;SULAWESI BARAT;MAMASA;BALLA;BALLA;5;SEPTEMBER
213;SULAWESI BARAT;MAMASA;BALLA;BALLA BARAT;2;SEPTEMBER
214;SULAWESI BARAT;MAMASA;BALLA;BALLA SATANETEAN;5;SEPTEMBER
215;SULAWESI BARAT;MAMASA;BALLA;BALLA TUMUKA;0;SEPTEMBER
216;SULAWESI BARAT;MAMASA;BALLA;SEPAKUAN;2;SEPTEMBER
217;SULAWESI BARAT;MAMASA;BALLA;PIDARA;2;SEPTEMBER
218;SULAWESI BARAT;MAMASA;BALLA;BAMBAPUANG;0;SEPTEMBER
219;SULAWESI BARAT;MAMASA;BALLA;BALLA TIMUR;0;SEPTEMBER
220;SULAWESI BARAT;MAMASA;BAMBANG;MOKALLANG;2;SEPTEMBER
221;SULAWESI BARAT;MAMASA;BAMBANG;MASOSO;0;SEPTEMBER
222;SULAWESI BARAT;MAMASA;BAMBANG;SALUASSING;5;SEPTEMBER
223;SULAWESI BARAT;MAMASA;BAMBANG;SALUBULO;0;SEPTEMBER
224;SULAWESI BARAT;MAMASA;BAMBANG;SALUKADI;5;SEPTEMBER
225;SULAWESI BARAT;MAMASA;BAMBANG;SALUKEPOPOK;3;SEPTEMBER
226;SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI BARAT;0;SEPTEMBER
227;SULAWESI BARAT;MAMASA;BAMBANG;LIMBADEBATA;2;SEPTEMBER
228;SULAWESI BARAT;MAMASA;BAMBANG;TANETE TOMBA;2;SEPTEMBER
229;SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG;0;SEPTEMBER
230;SULAWESI BARAT;MAMASA;BAMBANG;RANTELEMO;3;SEPTEMBER
231;SULAWESI BARAT;MAMASA;BAMBANG;SALUDENGEN;2;SEPTEMBER
232;SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI;0;SEPTEMBER
233;SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG TIMUR;0;SEPTEMBER
234;SULAWESI BARAT;MAMASA;BAMBANG;MINANGA;0;SEPTEMBER
235;SULAWESI BARAT;MAMASA;BAMBANG;SIKAMASE;1;SEPTEMBER
236;SULAWESI BARAT;MAMASA;BAMBANG;RANTETARIMA;0;SEPTEMBER
237;SULAWESI BARAT;MAMASA;BAMBANG;SALURURU;1;SEPTEMBER
238;SULAWESI BARAT;MAMASA;BAMBANG;SALUTABANG;2;SEPTEMBER
239;SULAWESI BARAT;MAMASA;BAMBANG;BALATANA;6;SEPTEMBER
240;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;BUNTUMALANGKA;5;SEPTEMBER
241;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;RANTEBERAN;32;SEPTEMBER
242;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KEBANGA;7;SEPTEMBER
243;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALURINDU;0;SEPTEMBER
244;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;TAORA;7;SEPTEMBER
245;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KABAE;2;SEPTEMBER
246;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN BARAT;2;SEPTEMBER
247;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;PENATANGAN;15;SEPTEMBER
248;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN TIMUR;3;SEPTEMBER
249;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN;0;SEPTEMBER
250;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;ARALLE TIMUR;12;SEPTEMBER
251;SULAWESI BARAT;MAMASA;MAMASA;MAMASA;9;SEPTEMBER
252;SULAWESI BARAT;MAMASA;MAMASA;RAMBUSARATU;2;SEPTEMBER
253;SULAWESI BARAT;MAMASA;MAMASA;OSANGO;12;SEPTEMBER
254;SULAWESI BARAT;MAMASA;MAMASA;LAMBANAN;1;SEPTEMBER
255;SULAWESI BARAT;MAMASA;MAMASA;LEMBANA SALULO;6;SEPTEMBER
