;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;GENTING;BULAN
256;SULAWESI BARAT;MAMASA;MAMASA;TAUPE;0;SEPTEMBER
257;SULAWESI BARAT;MAMASA;MAMASA;BUNTU BUDA;12;SEPTEMBER
258;SULAWESI BARAT;MAMASA;MAMASA;TONDOK BAKARU;0;SEPTEMBER
259;SULAWESI BARAT;MAMASA;MAMASA;PEBASSIAN;0;SEPTEMBER
260;SULAWESI BARAT;MAMASA;MAMASA;MAMBULILING;0;SEPTEMBER
261;SULAWESI BARAT;MAMASA;MAMASA;BOMBONG LAMBE;13;SEPTEMBER
262;SULAWESI BARAT;MAMASA;MAMASA;BUBUN BATU;0;SEPTEMBER
263;SULAWESI BARAT;MAMASA;MAMBI;MAMBI;0;SEPTEMBER
264;SULAWESI BARAT;MAMASA;MAMBI;TALIPUKKI;0;SEPTEMBER
265;SULAWESI BARAT;MAMASA;MAMBI;RANTEBULAHAN;0;SEPTEMBER
266;SULAWESI BARAT;MAMASA;MAMBI;SONDONGLAYU;0;SEPTEMBER
267;SULAWESI BARAT;MAMASA;MAMBI;SALUBANUA;0;SEPTEMBER
268;SULAWESI BARAT;MAMASA;MAMBI;TAPALINA;0;SEPTEMBER
269;SULAWESI BARAT;MAMASA;MAMBI;SENDANA;0;SEPTEMBER
270;SULAWESI BARAT;MAMASA;MAMBI;PAMOSEAN;0;SEPTEMBER
271;SULAWESI BARAT;MAMASA;MAMBI;SELUMAKA;0;SEPTEMBER
272;SULAWESI BARAT;MAMASA;MAMBI;BUJUNG MANURUNG;0;SEPTEMBER
273;SULAWESI BARAT;MAMASA;MAMBI;SALU ALO;0;SEPTEMBER
274;SULAWESI BARAT;MAMASA;MAMBI;INDOBANUA;0;SEPTEMBER
275;SULAWESI BARAT;MAMASA;MAMBI;SALUDURIAN;0;SEPTEMBER
276;SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN;0;SEPTEMBER
277;SULAWESI BARAT;MAMASA;MEHALAAN;BOTTENG;5;SEPTEMBER
278;SULAWESI BARAT;MAMASA;MEHALAAN;SALUKONTA;4;SEPTEMBER
279;SULAWESI BARAT;MAMASA;MEHALAAN;MESAKADA;2;SEPTEMBER
280;SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN BARAT;1;SEPTEMBER
281;SULAWESI BARAT;MAMASA;MEHALAAN;SALUAHOK;0;SEPTEMBER
282;SULAWESI BARAT;MAMASA;MEHALAAN;SALUBALO;3;SEPTEMBER
283;SULAWESI BARAT;MAMASA;MEHALAAN;PASSEMBUK;1;SEPTEMBER
284;SULAWESI BARAT;MAMASA;MEHALAAN;KONDO;1;SEPTEMBER
285;SULAWESI BARAT;MAMASA;MEHALAAN;LEKO SUKAMAJU;0;SEPTEMBER
286;SULAWESI BARAT;MAMASA;MEHALAAN;ULUMEA;1;SEPTEMBER
287;SULAWESI BARAT;MAMASA;MESSAWA;MESSAWA;0;SEPTEMBER
288;SULAWESI BARAT;MAMASA;MESSAWA;RIPPUNG;0;SEPTEMBER
289;SULAWESI BARAT;MAMASA;MESSAWA;MAKUANG;0;SEPTEMBER
290;SULAWESI BARAT;MAMASA;MESSAWA;SEPANG;0;SEPTEMBER
291;SULAWESI BARAT;MAMASA;MESSAWA;MALIMBONG;0;SEPTEMBER
292;SULAWESI BARAT;MAMASA;MESSAWA;MATANDE;0;SEPTEMBER
293;SULAWESI BARAT;MAMASA;MESSAWA;SIPAI;0;SEPTEMBER
294;SULAWESI BARAT;MAMASA;MESSAWA;PASMA MAMBU;0;SEPTEMBER
295;SULAWESI BARAT;MAMASA;MESSAWA;TANETE BATU;0;SEPTEMBER
296;SULAWESI BARAT;MAMASA;NOSU;NOSU;1;SEPTEMBER
297;SULAWESI BARAT;MAMASA;NOSU;MINANGA;1;SEPTEMBER
298;SULAWESI BARAT;MAMASA;NOSU;BATUPAPAN;0;SEPTEMBER
299;SULAWESI BARAT;MAMASA;NOSU;MASEWWE;1;SEPTEMBER
300;SULAWESI BARAT;MAMASA;NOSU;SIWI;6;SEPTEMBER
301;SULAWESI BARAT;MAMASA;NOSU;MINANGA TIMUR;0;SEPTEMBER
302;SULAWESI BARAT;MAMASA;NOSU;PARINDING;0;SEPTEMBER
303;SULAWESI BARAT;MAMASA;PANA;PANA;1;SEPTEMBER
304;SULAWESI BARAT;MAMASA;PANA;MANIPI;0;SEPTEMBER
305;SULAWESI BARAT;MAMASA;PANA;MAMULLU;1;SEPTEMBER
306;SULAWESI BARAT;MAMASA;PANA;SAPAN;0;SEPTEMBER
307;SULAWESI BARAT;MAMASA;PANA;DATUBARINGAN;3;SEPTEMBER
308;SULAWESI BARAT;MAMASA;PANA;PANURA;0;SEPTEMBER
309;SULAWESI BARAT;MAMASA;PANA;TALLANG BULAWAN;0;SEPTEMBER
310;SULAWESI BARAT;MAMASA;PANA;KARAKA;4;SEPTEMBER
311;SULAWESI BARAT;MAMASA;PANA;ULUSALU;0;SEPTEMBER
312;SULAWESI BARAT;MAMASA;PANA;WERI;2;SEPTEMBER
313;SULAWESI BARAT;MAMASA;PANA;SALUTAMBUN;0;SEPTEMBER
314;SULAWESI BARAT;MAMASA;PANA;SALOAN;7;SEPTEMBER
315;SULAWESI BARAT;MAMASA;PANA;ULUSALU INDAH;0;SEPTEMBER
316;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN;1;SEPTEMBER
317;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN BARAT;2;SEPTEMBER
318;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BUANGIN;2;SEPTEMBER
319;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;BAMBANG BUDA;5;SEPTEMBER
320;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;LEKO;1;SEPTEMBER
321;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;KIRAK;6;SEPTEMBER
322;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SALUMOKANAN UTARA;5;SEPTEMBER
323;SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;SAMPALE;1;SEPTEMBER
324;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA;0;SEPTEMBER
325;SULAWESI BARAT;MAMASA;SESENAPADANG;PALADAN;0;SEPTEMBER
326;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA TIMUR;6;SEPTEMBER
327;SULAWESI BARAT;MAMASA;SESENAPADANG;RANTE PUANG;0;SEPTEMBER
328;SULAWESI BARAT;MAMASA;SESENAPADANG;SATENETEAN;2;SEPTEMBER
329;SULAWESI BARAT;MAMASA;SESENAPADANG;LISUAN ADA;0;SEPTEMBER
330;SULAWESI BARAT;MAMASA;SESENAPADANG;OROBUA SELATAN;3;SEPTEMBER
331;SULAWESI BARAT;MAMASA;SESENAPADANG;MALANGKENA PADANG;0;SEPTEMBER
332;SULAWESI BARAT;MAMASA;SESENAPADANG;MALIMBONG;1;SEPTEMBER
333;SULAWESI BARAT;MAMASA;SESENAPADANG;MARAMPAN OROBUA;0;SEPTEMBER
334;SULAWESI BARAT;MAMASA;SUMARORONG;SUMARORONG;0;SEPTEMBER
335;SULAWESI BARAT;MAMASA;SUMARORONG;TABONE;0;SEPTEMBER
336;SULAWESI BARAT;MAMASA;SUMARORONG;BATANG URU;0;SEPTEMBER
337;SULAWESI BARAT;MAMASA;SUMARORONG;SASAKAN;7;SEPTEMBER
338;SULAWESI BARAT;MAMASA;SUMARORONG;TADISI;0;SEPTEMBER
339;SULAWESI BARAT;MAMASA;SUMARORONG;SIBANAWA;0;SEPTEMBER
340;SULAWESI BARAT;MAMASA;SUMARORONG;BATANGNGURU TIMUR;0;SEPTEMBER
341;SULAWESI BARAT;MAMASA;SUMARORONG;SALUBALO;0;SEPTEMBER
342;SULAWESI BARAT;MAMASA;SUMARORONG;BANEA;0;SEPTEMBER
343;SULAWESI BARAT;MAMASA;SUMARORONG;RANTE KAMASE;3;SEPTEMBER
344;SULAWESI BARAT;MAMASA;TABANG;TABANG;0;SEPTEMBER
345;SULAWESI BARAT;MAMASA;TABANG;TADOKALUA;0;SEPTEMBER
346;SULAWESI BARAT;MAMASA;TABANG;TABANG BARAT;0;SEPTEMBER
347;SULAWESI BARAT;MAMASA;TABANG;MASUPU;2;SEPTEMBER
348;SULAWESI BARAT;MAMASA;TABANG;KALAMA;0;SEPTEMBER
349;SULAWESI BARAT;MAMASA;TABANG;BAKADISURA;12;SEPTEMBER
350;SULAWESI BARAT;MAMASA;TABANG;SALUKONA;0;SEPTEMBER
351;SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG;3;SEPTEMBER
352;SULAWESI BARAT;MAMASA;TABULAHAN;PERIANGAN;0;SEPTEMBER
353;SULAWESI BARAT;MAMASA;TABULAHAN;MALATIRO;0;SEPTEMBER
354;SULAWESI BARAT;MAMASA;TABULAHAN;TABULAHAN;0;SEPTEMBER
355;SULAWESI BARAT;MAMASA;TABULAHAN;SALULEANG;0;SEPTEMBER
356;SULAWESI BARAT;MAMASA;TABULAHAN;TAMPAK KURRA;3;SEPTEMBER
357;SULAWESI BARAT;MAMASA;TABULAHAN;GANDANG DEWATA;0;SEPTEMBER
358;SULAWESI BARAT;MAMASA;TABULAHAN;BURANA;0;SEPTEMBER
359;SULAWESI BARAT;MAMASA;TABULAHAN;SALUBAKKA;0;SEPTEMBER
360;SULAWESI BARAT;MAMASA;TABULAHAN;PANGANDARAN;4;SEPTEMBER
361;SULAWESI BARAT;MAMASA;TABULAHAN;TALOPAK;0;SEPTEMBER
362;SULAWESI BARAT;MAMASA;TABULAHAN;PEU';0;SEPTEMBER
363;SULAWESI BARAT;MAMASA;TABULAHAN;TIMORO;0;SEPTEMBER
364;SULAWESI BARAT;MAMASA;TABULAHAN;LAKAHANG UTAMA;0;SEPTEMBER
365;SULAWESI BARAT;MAMASA;TANDUK KALUA;MINAKE;0;SEPTEMBER
366;SULAWESI BARAT;MAMASA;TANDUK KALUA;MALABO;0;SEPTEMBER
367;SULAWESI BARAT;MAMASA;TANDUK KALUA;SINDAGAMANIK;1;SEPTEMBER
368;SULAWESI BARAT;MAMASA;TANDUK KALUA;PARONDOBULAWAN;0;SEPTEMBER
369;SULAWESI BARAT;MAMASA;TANDUK KALUA;TAMALANTIK;0;SEPTEMBER
370;SULAWESI BARAT;MAMASA;TANDUK KALUA;MANNABABA;0;SEPTEMBER
371;SULAWESI BARAT;MAMASA;TANDUK KALUA;MESAKADA;3;SEPTEMBER
372;SULAWESI BARAT;MAMASA;TANDUK KALUA;BALLABATU;12;SEPTEMBER
373;SULAWESI BARAT;MAMASA;TANDUK KALUA;PAMBE;0;SEPTEMBER
374;SULAWESI BARAT;MAMASA;TANDUK KALUA;SALURANO;1;SEPTEMBER
375;SULAWESI BARAT;MAMASA;TANDUK KALUA;TALIMBUNG;0;SEPTEMBER
376;SULAWESI BARAT;MAMASA;TANDUK KALUA;KANAN;0;SEPTEMBER
377;SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN;0;SEPTEMBER
378;SULAWESI BARAT;MAMASA;TAWALIAN;TAWALIAN TIMUR;1;SEPTEMBER
379;SULAWESI BARAT;MAMASA;TAWALIAN;KARIANGO;0;SEPTEMBER
380;SULAWESI BARAT;MAMASA;TAWALIAN;RANTETANGNGA;5;SEPTEMBER
381;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PETOOSANG;8;SEPTEMBER
382;SULAWESI BARAT;POLEWALI MANDAR;ALLU;MOMBI;12;SEPTEMBER
383;SULAWESI BARAT;POLEWALI MANDAR;ALLU;KALUMAMMANG;15;SEPTEMBER
384;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PAO-PAO;10;SEPTEMBER
385;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PUPPU URING;24;SEPTEMBER
386;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SARAGIAN;19;SEPTEMBER
387;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SAYOANG;10;SEPTEMBER
388;SULAWESI BARAT;POLEWALI MANDAR;ALLU;ALU;10;SEPTEMBER
389;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;ANREAPI;17;SEPTEMBER
390;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;DUAMPANUA;3;SEPTEMBER
391;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KELAPA DUA;15;SEPTEMBER
392;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;PAPPANDANGAN;11;SEPTEMBER
393;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KUNYI;7;SEPTEMBER
394;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALANIPA;25;SEPTEMBER
395;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMMAJARRA;13;SEPTEMBER
396;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMANGGALLE;26;SEPTEMBER
397;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;MOSSO;0;SEPTEMBER
398;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;GALUNG TULUK;27;SEPTEMBER
399;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;SABANG SUBIK;23;SEPTEMBER
400;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PAMBUSUANG;16;SEPTEMBER
401;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALA;39;SEPTEMBER
402;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LAMBANAN;2;SEPTEMBER
403;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LEGO;2;SEPTEMBER
404;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PALLIS;4;SEPTEMBER
405;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMASSANGAN;29;SEPTEMBER
406;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;TONYAMAN;39;SEPTEMBER
407;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KUAJANG;42;SEPTEMBER
408;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;PAKU;8;SEPTEMBER
409;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MIRRING;17;SEPTEMBER
410;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;BATETANGNGA;25;SEPTEMBER
411;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MAMMI;35;SEPTEMBER
412;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KALEOK;8;SEPTEMBER
413;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMOLA;9;SEPTEMBER
414;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;REA;33;SEPTEMBER
415;SULAWESI BARAT;POLEWALI MANDAR;BULO;BULO;5;SEPTEMBER
416;SULAWESI BARAT;POLEWALI MANDAR;BULO;PULLIWA;19;SEPTEMBER
417;SULAWESI BARAT;POLEWALI MANDAR;BULO;PATAMBANUA;16;SEPTEMBER
418;SULAWESI BARAT;POLEWALI MANDAR;BULO;KAROMBANG;0;SEPTEMBER
419;SULAWESI BARAT;POLEWALI MANDAR;BULO;DAALA TIMUR;12;SEPTEMBER
420;SULAWESI BARAT;POLEWALI MANDAR;BULO;LENGGO;0;SEPTEMBER
421;SULAWESI BARAT;POLEWALI MANDAR;BULO;SABURA;0;SEPTEMBER
422;SULAWESI BARAT;POLEWALI MANDAR;BULO;SEPPORRAKI;6;SEPTEMBER
423;SULAWESI BARAT;POLEWALI MANDAR;BULO;IHING;7;SEPTEMBER
424;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PAPPANG;18;SEPTEMBER
425;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LALIKO;0;SEPTEMBER
426;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BONDE;1;SEPTEMBER
427;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN LEMO;13;SEPTEMBER
428;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PANYAMPA;41;SEPTEMBER
429;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SURUANG;21;SEPTEMBER
430;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAMPOKO;26;SEPTEMBER
431;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN;0;SEPTEMBER
432;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAPEO;16;SEPTEMBER
433;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PARAPPE;2;SEPTEMBER
434;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;ONGKO;11;SEPTEMBER
435;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KENJE;15;SEPTEMBER
436;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SUMARRANG;0;SEPTEMBER
437;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BOTTO;11;SEPTEMBER
438;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;GATTUNGAN;12;SEPTEMBER
439;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG TIMUR;0;SEPTEMBER
440;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG;5;SEPTEMBER
441;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAGI-AGI;19;SEPTEMBER
442;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LIMBORO;42;SEPTEMBER
443;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LEMBANG LEMBANG;27;SEPTEMBER
444;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANDASURA;25;SEPTEMBER
445;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SAMASUNDU;11;SEPTEMBER
446;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;NAPO;24;SEPTEMBER
447;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TODANG TODANG;10;SEPTEMBER
448;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PENDULANGAN;6;SEPTEMBER
449;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;RENGGEANG;22;SEPTEMBER
450;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SALARRI;2;SEPTEMBER
451;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANGAN BARU;11;SEPTEMBER
452;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PALECE;27;SEPTEMBER
453;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA;26;SEPTEMBER
454;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAMBU;21;SEPTEMBER
455;SULAWESI BARAT;POLEWALI MANDAR;LUYO;TENGGELANG;33;SEPTEMBER
456;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BARU;44;SEPTEMBER
457;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI;10;SEPTEMBER
458;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAPILI BARAT;31;SEPTEMBER
459;SULAWESI BARAT;POLEWALI MANDAR;LUYO;SAMBALI WALI;34;SEPTEMBER
460;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA DAALA;0;SEPTEMBER
461;SULAWESI BARAT;POLEWALI MANDAR;LUYO;LUYO;18;SEPTEMBER
462;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI BARAT;0;SEPTEMBER
463;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUCCADI;10;SEPTEMBER
464;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;MAPILI;0;SEPTEMBER
465;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;UGIBARU;5;SEPTEMBER
466;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RUMPA;0;SEPTEMBER
467;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;KURMA;21;SEPTEMBER
468;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BUKU;6;SEPTEMBER
469;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONNE BONNE;8;SEPTEMBER
470;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BEROANGIN;0;SEPTEMBER
471;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SEGERANG;0;SEPTEMBER
472;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONRA;0;SEPTEMBER
473;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SATTOKO;0;SEPTEMBER
474;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RAPPANG BARAT;11;SEPTEMBER
475;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;LANDI KANUSUANG;0;SEPTEMBER
476;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;MATAKALI;11;SEPTEMBER
477;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PETAMPANUA;1;SEPTEMBER
478;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BARUMBUNG;17;SEPTEMBER
479;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PASIANG;21;SEPTEMBER
480;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;TONROLIMA;21;SEPTEMBER
481;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;INDOMAKKOMBONG;25;SEPTEMBER
482;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BUNGA-BUNGA;0;SEPTEMBER
483;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;MATANGNGA;5;SEPTEMBER
484;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;LILLI;7;SEPTEMBER
485;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;RANGOAN;3;SEPTEMBER
486;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;TAPUA;5;SEPTEMBER
487;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;MAMBU TAPUA;8;SEPTEMBER
488;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;BA'BA TAPUA;13;SEPTEMBER
489;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;KATIMBANG;8;SEPTEMBER
490;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;POLEWALI;34;SEPTEMBER
491;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;WATTANG;16;SEPTEMBER
492;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;SULEWATANG;25;SEPTEMBER
493;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;LANTORA;28;SEPTEMBER
494;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;TAKATIDUNG;55;SEPTEMBER
495;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;PEKKABATA;9;SEPTEMBER
496;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;MADATE;65;SEPTEMBER
497;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;MANDING;43;SEPTEMBER
498;SULAWESI BARAT;POLEWALI MANDAR;POLEWALI;DARMA;17;SEPTEMBER
499;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;PELITAKAN;0;SEPTEMBER
500;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;TAPANGO;2;SEPTEMBER
501;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;RAPPANG;0;SEPTEMBER
502;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;DAKKA;0;SEPTEMBER
503;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;BATU;0;SEPTEMBER
504;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;RISO;0;SEPTEMBER
505;SULAWESI BARAT;POLEWALI MANDAR;TAPANGO;PALATTA;0;SEPTEMBER
