;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS
0;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;36;40;-4;30;20;2;16;6;40;0;40;0;40;0;0;0;5;35;15;25
1;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;16;7;9;3;2;0;2;0;7;0;7;0;7;0;0;0;2;5;2;5
3;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;30;6;24;6;3;0;1;2;6;0;6;0;6;0;0;0;2;4;5;1
4;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;21;7;14;0;0;0;0;0;7;0;7;0;7;0;0;0;0;7;2;5
5;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;44;9;35;3;1;0;1;0;9;0;9;0;1;0;7;1;4;5;2;7
6;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;31;12;19;2;2;0;2;0;12;0;12;0;12;0;0;0;0;12;2;10
7;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;33;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;10;1;9;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1
10;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;30;12;18;1;1;0;1;0;11;1;11;1;12;0;0;0;0;12;1;11
12;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;10;2;8;0;0;0;0;0;2;0;2;0;1;0;1;0;0;2;0;2
14;SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;6;1;5;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
15;SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;39;14;25;5;1;0;1;0;14;0;13;1;14;0;0;0;2;12;1;13
24;SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;24;6;18;3;1;2;3;0;6;0;6;0;6;0;0;0;4;2;0;6
25;SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;19;22;-3;13;3;1;4;0;22;0;22;0;22;0;0;0;0;22;0;22
27;SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;12;3;9;2;2;0;0;2;3;0;3;0;3;0;0;0;0;3;0;3
29;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;6;3;3;2;2;0;2;0;3;0;3;0;3;0;0;0;0;3;0;3
30;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;8;2;6;1;1;0;1;0;2;0;2;0;1;1;0;0;2;0;0;2
31;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;9;10;-1;3;1;0;1;0;10;0;10;0;9;0;1;0;4;6;3;7
33;SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;3;3;0;1;0;0;0;0;3;0;3;0;3;0;0;0;0;3;0;3
34;SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;4;12;-8;8;2;0;2;0;12;0;12;0;9;1;0;2;1;11;1;11
35;SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;10;15;-5;11;5;0;5;0;15;0;15;0;13;0;2;0;14;1;3;12
36;SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;8;11;-3;6;5;0;5;0;11;0;11;0;10;1;0;0;1;10;11;0
37;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;4;6;-2;4;3;0;1;2;6;0;6;0;6;0;0;0;6;0;0;6
38;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;21;12;9;6;5;1;4;2;12;0;12;0;12;0;0;0;0;12;10;2
39;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;71;2;69;0;0;0;0;0;2;0;2;0;2;0;0;0;1;1;2;0
40;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;20;10;10;9;7;0;7;0;10;0;10;0;10;0;0;0;7;3;4;6
43;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;16;17;-1;13;6;1;5;2;17;0;17;0;17;0;0;0;2;15;2;15
44;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;17;4;13;3;3;0;0;3;4;0;4;0;4;0;0;0;0;4;0;4
46;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;8;6;2;4;0;0;0;0;6;0;6;0;6;0;0;0;5;1;0;6
47;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;13;2;11;1;0;0;0;0;2;0;2;0;2;0;0;0;1;1;0;2
48;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;28;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;60;14;46;7;7;0;7;0;14;0;14;0;14;0;0;0;14;0;14;0
54;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;35;42;-7;34;27;0;7;20;42;0;42;0;42;0;0;0;0;42;9;33
55;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;20;5;15;1;1;0;0;1;5;0;5;0;3;0;2;0;2;3;0;5
56;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;4;6;-2;3;3;0;3;0;6;0;6;0;5;0;1;0;1;5;0;6
57;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;10;1;9;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0
58;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;17;18;-1;7;4;0;3;1;18;0;18;0;13;5;0;0;1;17;0;18
59;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;7;6;1;4;1;0;1;0;6;0;6;0;6;0;0;0;0;6;0;6
60;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;21;20;1;5;1;0;0;1;20;0;20;0;20;0;0;0;13;7;11;9
61;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;19;21;-2;13;11;0;6;5;21;0;21;0;21;0;0;0;1;20;0;21
62;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;14;6;8;1;1;0;1;0;6;0;5;1;6;0;0;0;0;6;0;6
63;SULAWESI BARAT;MAMUJU;MAMUJU;BINANGA;17;3;14;2;2;0;1;1;3;0;3;0;3;0;0;0;0;3;0;3
64;SULAWESI BARAT;MAMUJU;MAMUJU;MAMUNYU;27;19;8;5;3;0;3;0;19;0;19;0;11;7;1;0;0;19;12;7
65;SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;45;14;31;9;7;0;7;0;13;1;13;1;4;2;8;0;2;12;4;10
66;SULAWESI BARAT;MAMUJU;MAMUJU;RIMUKU;25;30;-5;23;17;0;15;2;30;0;30;0;13;3;14;0;5;25;2;28
67;SULAWESI BARAT;MAMUJU;MAMUJU;BAMBU;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;SULAWESI BARAT;MAMUJU;MAMUJU;KARAMPUANG;22;4;18;2;2;0;2;0;4;0;4;0;4;0;0;0;2;2;4;0
69;SULAWESI BARAT;MAMUJU;MAMUJU;TADUI;38;45;-7;27;15;0;15;0;45;0;45;0;24;0;21;0;0;45;15;30
70;SULAWESI BARAT;MAMUJU;MAMUJU;BATU PANNU;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;SULAWESI BARAT;MAMUJU;TAPALANG;GALUNG;25;11;14;6;4;0;3;1;10;1;10;1;11;0;0;0;0;11;7;4
72;SULAWESI BARAT;MAMUJU;TAPALANG;KASAMBANG;10;12;-2;9;8;0;8;0;11;1;11;1;12;0;0;0;0;12;0;12
73;SULAWESI BARAT;MAMUJU;TAPALANG;DAYANGINNA;27;12;15;4;3;0;1;2;9;3;9;3;12;0;0;0;0;12;0;12
74;SULAWESI BARAT;MAMUJU;TAPALANG;OROBATU;5;10;-5;3;3;0;2;1;10;0;10;0;10;0;0;0;4;6;9;1
75;SULAWESI BARAT;MAMUJU;TAPALANG;TAKANDEANG;24;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;SULAWESI BARAT;MAMUJU;TAPALANG;BELA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;SULAWESI BARAT;MAMUJU;TAPALANG;TAAN;29;16;13;5;4;0;4;0;16;0;16;0;14;1;1;0;13;3;15;1
78;SULAWESI BARAT;MAMUJU;TAPALANG;TAMPALANG;21;2;19;1;1;0;1;0;2;0;2;0;2;0;0;0;0;2;0;2
79;SULAWESI BARAT;MAMUJU;TAPALANG;RANTEDODA;23;29;-6;19;14;0;10;4;22;7;22;7;25;1;3;0;2;27;1;28
80;SULAWESI BARAT;MAMUJU;TAPALANG;KOPEANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI;21;9;12;8;6;0;5;1;9;0;9;0;9;0;0;0;2;7;3;6
;SULAWESI BARAT;MAMUJU;KALUKKU;BEBANGA;57;7;50;4;3;0;1;2;7;0;7;0;2;4;1;0;5;2;0;7
;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU;51;19;32;16;3;0;3;0;19;0;19;0;19;0;0;0;0;19;8;11
;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI SELATAN;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;SULAWESI BARAT;MAMUJU;KALUKKU;SONDOANG;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;SULAWESI BARAT;MAMUJU;KALUKKU;BERU-BERU;52;26;26;13;10;0;10;0;26;0;26;0;26;0;0;0;1;25;3;23
;SULAWESI BARAT;MAMUJU;KALUKKU;BELANG BELANG;16;15;1;9;5;1;6;0;15;0;15;0;9;6;0;0;6;9;10;5
;SULAWESI BARAT;MAMUJU;KALUKKU;KABULOANG;26;19;7;11;7;0;7;0;19;0;18;1;15;1;3;0;7;12;6;13
;SULAWESI BARAT;MAMUJU;KALUKKU;KEANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;SULAWESI BARAT;MAMUJU;KALUKKU;POKKANG;18;19;-1;9;6;0;6;0;19;0;19;0;18;1;0;0;19;0;3;16
81;SULAWESI BARAT;MAMUJU;KALUKKU;GULILING;15;18;-3;7;8;0;7;1;18;0;18;0;17;1;0;0;18;0;1;17
82;SULAWESI BARAT;MAMUJU;KALUKKU;UHAIMATE;7;1;6;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0
83;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU BARAT;27;1;26;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0
84;SULAWESI BARAT;MAMUJU;KALUKKU;PAMMULUKANG;22;14;8;3;2;0;1;1;9;5;9;5;11;1;1;1;0;14;0;14
87;SULAWESI BARAT;MAMUJU;BONEHAU;BONEHAU;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;SULAWESI BARAT;MAMUJU;BONEHAU;SALUTIWO;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;SULAWESI BARAT;MAMUJU;BONEHAU;BUTTUADA;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;SULAWESI BARAT;MAMUJU;BONEHAU;TAMALEA;8;11;-3;5;4;0;4;0;11;0;11;0;11;0;0;0;11;0;11;0
91;SULAWESI BARAT;MAMUJU;BONEHAU;LUMIKA;8;1;7;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0
92;SULAWESI BARAT;MAMUJU;BONEHAU;MAPPU;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;SULAWESI BARAT;MAMUJU;BONEHAU;BANUADA;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;SULAWESI BARAT;MAMUJU;BONEHAU;HINUA;6;5;1;5;4;0;4;0;5;0;5;0;0;0;5;0;5;0;5;0
95;SULAWESI BARAT;MAMUJU;BONEHAU;KINATANG;6;11;-5;5;4;0;4;0;11;0;11;0;7;3;1;0;0;11;0;11
96;SULAWESI BARAT;MAMUJU;KALUMPANG;KALUMPANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;SULAWESI BARAT;MAMUJU;KALUMPANG;KARATAUN;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;SULAWESI BARAT;MAMUJU;KALUMPANG;KARAMA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;SULAWESI BARAT;MAMUJU;KALUMPANG;SIRAUN;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;SULAWESI BARAT;MAMUJU;KALUMPANG;TUMOGA;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;SULAWESI BARAT;MAMUJU;KALUMPANG;SALUMAKKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;SULAWESI BARAT;MAMUJU;KALUMPANG;POLIO;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;SULAWESI BARAT;MAMUJU;KALUMPANG;LIMBONG;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;SULAWESI BARAT;MAMUJU;KALUMPANG;SANDAPANG;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;SULAWESI BARAT;MAMUJU;KALUMPANG;KONDO BULO;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;SULAWESI BARAT;MAMUJU;KALUMPANG;MAKKALIKI;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;SULAWESI BARAT;MAMUJU;KALUMPANG;BATU MAKKADA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;SULAWESI BARAT;MAMUJU;KALUMPANG;LASA';3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA BALAKANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA-BALAKANG TIMUR;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;SULAWESI BARAT;MAMUJU;SAMPAGA;BUNDE;34;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;SULAWESI BARAT;MAMUJU;SAMPAGA;KALONDING;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;SULAWESI BARAT;MAMUJU;SAMPAGA;TARAILU;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;SULAWESI BARAT;MAMUJU;SAMPAGA;SAMPAGA;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;SULAWESI BARAT;MAMUJU;SAMPAGA;TANAMBUAH;4;2;2;2;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2
116;SULAWESI BARAT;MAMUJU;SAMPAGA;SALUBARANA;3;1;2;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
117;SULAWESI BARAT;MAMUJU;SAMPAGA;LOSSO;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;SULAWESI BARAT;MAMUJU;PAPALANG;TOABO;32;51;-19;28;17;0;17;0;51;0;51;0;50;0;1;0;19;32;19;32
119;SULAWESI BARAT;MAMUJU;PAPALANG;PAPALANG;49;20;29;2;0;0;0;0;17;3;16;4;19;0;0;1;19;1;12;8
120;SULAWESI BARAT;MAMUJU;PAPALANG;BONDA;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;SULAWESI BARAT;MAMUJU;PAPALANG;TOPORE;22;1;21;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
122;SULAWESI BARAT;MAMUJU;PAPALANG;SALUKAYU;21;21;0;11;8;2;7;3;21;0;21;0;21;0;0;0;2;19;1;20
123;SULAWESI BARAT;MAMUJU;PAPALANG;SUKADAMAI;4;9;-5;6;6;0;6;0;9;0;9;0;4;0;5;0;9;0;9;0
124;SULAWESI BARAT;MAMUJU;PAPALANG;BODA-BODA;18;5;13;1;1;0;1;0;5;0;5;0;5;0;0;0;0;5;5;0
125;SULAWESI BARAT;MAMUJU;PAPALANG;SISANGO;2;4;-2;3;2;0;2;0;4;0;4;0;4;0;0;0;2;2;2;2
126;SULAWESI BARAT;MAMUJU;PAPALANG;BATU AMPA;21;13;8;1;1;0;1;0;13;0;13;0;1;12;0;0;10;3;2;11
127;SULAWESI BARAT;MAMUJU;SIMBORO;SIMBORO;100;17;83;12;6;0;6;0;16;1;16;1;17;0;0;0;6;11;1;16
128;SULAWESI BARAT;MAMUJU;SIMBORO;RANGAS;28;17;11;7;5;0;5;0;15;2;15;2;16;0;1;0;6;11;3;14
129;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG;15;2;13;1;1;0;1;0;2;0;2;0;2;0;0;0;0;2;1;1
130;SULAWESI BARAT;MAMUJU;SIMBORO;SALETTO;17;11;6;8;5;0;5;0;11;0;11;0;10;0;0;1;3;8;5;6
131;SULAWESI BARAT;MAMUJU;SIMBORO;SUMARE;27;42;-15;25;20;0;20;0;42;0;38;4;3;34;0;5;2;40;1;41
132;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG UTARA;34;28;6;14;5;0;4;1;26;2;26;2;7;1;20;0;0;28;13;15
133;SULAWESI BARAT;MAMUJU;SIMBORO;TAPANDULLU;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;SULAWESI BARAT;MAMUJU;SIMBORO;PATI'DI;12;7;5;4;1;0;1;0;7;0;7;0;4;3;0;0;7;0;7;0
135;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;DUNGKAIT;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LEBANI;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LABUANG RANO;15;7;8;0;0;0;0;0;7;0;7;0;2;0;5;0;3;4;7;0
138;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PASABU;21;34;-13;15;12;0;8;4;31;3;31;3;34;0;0;0;5;29;9;25
139;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;TANETE PAO;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PANGASAAN;8;3;5;1;1;0;1;0;3;0;3;0;0;0;3;0;0;3;0;3
141;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;AHU;31;8;23;4;3;0;0;3;8;0;8;0;1;0;7;0;2;6;0;8
142;SULAWESI BARAT;MAMUJU;TOMMO;TOMMO;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;SULAWESI BARAT;MAMUJU;TOMMO;CAMPALOGA;16;3;13;2;2;0;2;0;3;0;3;0;0;0;3;0;3;0;0;3
144;SULAWESI BARAT;MAMUJU;TOMMO;BUANA SAKTI;21;18;3;9;9;0;9;0;18;0;18;0;17;0;1;0;8;10;3;15
145;SULAWESI BARAT;MAMUJU;TOMMO;TAMEMONGGA;3;1;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1
146;SULAWESI BARAT;MAMUJU;TOMMO;TAMEJARRA;27;10;17;3;1;0;0;1;10;0;10;0;3;0;7;0;3;7;1;9
147;SULAWESI BARAT;MAMUJU;TOMMO;RANTEMARIO;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;SULAWESI BARAT;MAMUJU;TOMMO;MALINO;9;5;4;2;2;0;1;1;5;0;5;0;5;0;0;0;5;0;2;3
149;SULAWESI BARAT;MAMUJU;TOMMO;KAKULLASANG;13;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;SULAWESI BARAT;MAMUJU;TOMMO;LELING;16;14;2;9;3;7;9;1;14;0;14;0;14;0;0;0;3;11;12;2
151;SULAWESI BARAT;MAMUJU;TOMMO;KALEPU;11;1;10;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1
152;SULAWESI BARAT;MAMUJU;TOMMO;SANDANA;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;SULAWESI BARAT;MAMUJU;TOMMO;LELING BARAT;9;3;6;0;0;0;0;0;3;0;3;0;0;0;3;0;3;0;3;0
